the_geom,ObjectID,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp,date,year
POINT (-73.94536087421963 40.83298180603014),1664,1.0,Manhattan,112.0,7.0,71.0,31.0,13.0,3059,General,02/05/2015,3740 Broadway,3740 Broadway,Broadway,West 155th Street & West 156th Street,Manhattan,112,M4,Not Applicable,40.832981806,-73.9453608742,Washington Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-02-05,2015.0
POINT (-73.70137372519845 40.738938019226396),1035,4.0,Queens,413.0,23.0,33.0,11.0,3.0,2019,General,10/29/2013,267-17 Hillside Avenue,267-17 Hillside Avenue,Hillside Avenue,267th & 268th Street,Queens,413,Q43,Not Applicable,40.7389380192,-73.7013737252,Glen Oaks-Floral Park-New Hyde Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-10-29,2013.0
POINT (-73.8185016046541 40.82116571575927),1585,2.0,Bronx,210.0,13.0,82.0,34.0,14.0,3568,Bus Route,02/04/2017,3948 E Tremont Avenue,3948 E Tremont Avenue,E Tremont Avenue,Sampson Avenue & Cross Bronx Expwy,Bronx,210,BX40,Not Applicable,40.8211657158,-73.8185016047,Throgs Neck-Schuylerville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2017-02-04,2017.0
POINT (-73.93851047809216 40.80659305959722),1500,1.0,Manhattan,111.0,9.0,68.0,30.0,13.0,2776,Municipal Facilities,12/08/2014,2005 Madison Avenue,91 East 127th Street,East 127th Street,East 127th Street & East 128th Street,Manhattan,111,Not Applicable,Not Applicable,40.8065930596,-73.9385104781,East Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2014-12-08,2014.0
POINT (-73.98647041007366 40.704304841525406),808,3.0,Brooklyn,302.0,33.0,52.0,26.0,7.0,3162,BID,09/09/2015,25 Jay Street,25 Jay Street,Jay Street,John Street & Plymouth Street,Brooklyn,302,Not Applicable,DUMBO Improvement District,40.7043048415,-73.9864704101,Downtown Brooklyn-DUMBO-Boerum Hill,AE,,2.0,BACKED,2015-09-09,2015.0
POINT (-73.89229257704223 40.89585670424556),1878,2.0,Bronx,226.0,11.0,81.0,34.0,16.0,3600,Bus Route,03/11/2017,Van Cortland Park,5983 Broadway,Broadway,Manhattan College Parkway & W 242nd Street,Bronx,208,BX09,Not Applicable,40.8958567042,-73.892292577,Van Cortlandt Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-03-11,2017.0
POINT (-73.78361817086507 40.776536046181135),1336,4.0,Queens,407.0,19.0,26.0,11.0,3.0,3071,General,06/02/2015,208-11 26th Avenue,208-11 26th Avenue,208-11 26th Avenue,Celarview Expwy & Corporal Kennedy Street,Queens,407,Not Applicable,Not Applicable,40.7765360462,-73.7836181709,Bay Terrace-Clearview,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-06-02,2015.0
POINT (-73.93633517569184 40.84595347252472),1717,1.0,Manhattan,112.0,10.0,72.0,31.0,13.0,3153,General,09/12/2015,1313 St Nicholas Avenue,1313 St Nicholas Avenue,St Nicholas Avenue,W 175 Street & W 176 Street,Manhattan,112,Not Applicable,Not Applicable,40.8459534725,-73.9363351757,Washington Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2015-09-12,2015.0
POINT (-73.90686297159101 40.773215945146944),2093,4.0,Queens,401.0,22.0,36.0,13.0,14.0,3382,Municipal Facilities,12/03/2016,22-11 38th Street,22-11 38th Street,38th Street,38th Street & Steinway Street,Queens,401,Not Applicable,Not Applicable,40.7732159451,-73.9068629716,Astoria (North)-Ditmars-Steinway,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-12-03,2016.0
POINT (-73.97919234986585 40.789548838233365),1410,1.0,Manhattan,107.0,6.0,67.0,31.0,10.0,2128,Senior Center,03/24/2014,333 West 86th Street,333 West 86th Street,West 86th Street,Riverside Drive and West End Avenue,Manhattan,107,Not Applicable,Not Applicable,40.7895488382,-73.9791923499,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-03-24,2014.0
POINT (-73.9678225651597 40.68304074800286),628,3.0,Brooklyn,302.0,35.0,57.0,25.0,8.0,2239,BID,,470 Vanderbilt Avenue,470 Vanderbilt,Fulton Street,Fulton Street & Atlantic Avenue,Brooklyn,302,B25,Fulton Area Business (FAB) Alliance,40.683040748,-73.9678225652,Clinton Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,,
POINT (-73.8782616218873 40.736435047904806),1023,4.0,Queens,404.0,25.0,35.0,16.0,6.0,664,General,02/14/2013,87-09 Grand Avenue,87-09 Grand Avenue,Grand Avenue,Queens Boulevard & Seabury Street,Queens,404,Q58,Not Applicable,40.7364350479,-73.8782616219,Elmhurst,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKLESS,2013-02-14,2013.0
POINT (-73.94191966424768 40.79781047648079),1468,1.0,Manhattan,111.0,8.0,68.0,30.0,13.0,3686,General,02/14/2017,158 E 115th Street,158 E 115th Street,E 115th Street,Lexington Avenue & 3rd Avenue,Manhattan,111,Not Applicable,Not Applicable,40.7978104765,-73.9419196642,East Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2017-02-14,2017.0
POINT (-73.9525934673914 40.652780664013456),364,3.0,Brooklyn,317.0,40.0,43.0,20.0,9.0,3895,Bus Route,08/17/2017,755 Rogers Avenue,755 Rogers Avenue,Rogers Avenue,Lenox Road & Linden Blvd,Brooklyn,317,B49,Not Applicable,40.652780664,-73.9525934674,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2017-08-17,2017.0
POINT (-73.97675217936546 40.780475102593286),1368,1.0,Manhattan,107.0,6.0,67.0,29.0,10.0,1831,General,03/25/2013,100 West 77th Street,100 West 77th Street,Columbus Avenue,76th Street & 77th Street,Manhattan,107,Not Applicable,Columbus Avenue,40.7804751026,-73.9767521794,Upper West Side (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-03-25,2013.0
POINT (-74.00867110348126 40.61078137093076),137,3.0,Brooklyn,311.0,43.0,47.0,22.0,11.0,3982,General,02/08/2018,1532 86th Street,1532 86th Street,86th Street,Bay 10th Street & Bay 11th Street,Brooklyn,311,Not Applicable,Not Applicable,40.6107813709,-74.0086711035,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2018-02-08,2018.0
POINT (-73.89684187928394 40.86880250628702),1822,2.0,Bronx,207.0,11.0,81.0,34.0,13.0,3522,Municipal Facilities,07/03/2017,25 W 195th Street,25 W 195th Street,195th Street,Jerome Avenue & Reservoir Avenue,Bronx,207,Not Applicable,Not Applicable,40.8688025063,-73.8968418793,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-07-03,2017.0
POINT (-73.74038414055033 40.755028810075515),1189,4.0,Queens,411.0,23.0,25.0,11.0,3.0,1947,General,07/03/2013,242-02 61st Avenue,242-02 61st Avenue,Douglaston Parkway,61st Avenue & 65th Avenue,Queens,411,Q30,Not Applicable,40.7550288101,-73.7403841406,Douglaston-Little Neck,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-07-03,2013.0
POINT (-73.82609060733185 40.751499729375574),1167,4.0,Queens,407.0,20.0,25.0,16.0,6.0,3359,General,07/13/2016,43-50 Main Street,43-50 Main Street,Main Street,Elder Avenue & Peck Avenue,Queens,407,Not Applicable,Not Applicable,40.7514997294,-73.8260906073,Flushing-Willets Point,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKED,2016-07-13,2016.0
POINT (-73.75224889852917 40.69847377277818),759,4.0,Queens,412.0,27.0,33.0,14.0,5.0,3321,Municipal Facilities,07/06/2016,201-15 115th Avenue,201-15 115th Avenue,115th Avenue,201st Street & 202nd Street,Queens,412,Not Applicable,Not Applicable,40.6984737728,-73.7522488985,St. Albans,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2016-07-06,2016.0
POINT (-73.75318163904649 40.60298875595714),100,4.0,Queens,414.0,31.0,23.0,10.0,5.0,2446,Plaza,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602988756,-73.753181639,Far Rockaway-Bayswater,X,AREA OF MINIMAL FLOOD HAZARD,1.0,BACKED,2015-12-09,2015.0
POINT (-73.98500927747261 40.61016472603498),2108,3.0,Brooklyn,311.0,44.0,47.0,17.0,10.0,3793,Senior Safety,01/10/2018,7023 Bay Pkwy,7023 Bay Pkwy,W 11th Street,Avenue O & Bay Pkwy,Brooklyn,311,Not Applicable,Not Applicable,40.610164726,-73.9850092775,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6.0,BACKED,2018-01-10,2018.0
POINT (-73.82590745250407 40.85283502159515),2130,2.0,Bronx,228.0,13.0,82.0,34.0,14.0,3569,Bus Route,02/04/2017,Charles J Cimi Plaza,Charles J Cimi Plaza,Bruckner Expressway,Wilkinson Avenue & Westchester Avenue,Bronx,210,Not Applicable,Not Applicable,40.8528350216,-73.8259074525,Pelham Bay Park,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2017-02-04,2017.0
POINT (-73.93390428669167 40.79526386771423),1453,1.0,Manhattan,111.0,8.0,68.0,29.0,13.0,3355,Municipal Facilities,09/15/2016,440 E 116th Street,440 E 116th Street,E 116th Street,1st Avenue & Pleasant Avenue,Manhattan,111,Not Applicable,Not Applicable,40.7952638677,-73.9339042867,East Harlem (North),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3.0,BACKED,2016-09-15,2016.0
POINT (-73.71855943460102 40.74333721947834),2030,4.0,Queens,413.0,23.0,24.0,11.0,3.0,2387,General,05/07/2014,251-15 Union Turnpike,251-15 Union Turnpike,252nd Street,"Union Turnpike, 80th Avenue & 251st Street",Queens,413,Not Applicable,Not Applicable,40.7433372195,-73.7185594346,Bellerose,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-05-07,2014.0
POINT (-73.94847528611419 40.82945651581873),1632,1.0,Manhattan,109.0,7.0,71.0,30.0,13.0,3004,Municipal Facilities,01/23/2015,3635 Broadway,3635 Broadway,Broadway,West 149th Street & West 150th Street,Manhattan,109,M5,Not Applicable,40.8294565158,-73.9484752861,Hamilton Heights-Sugar Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2015-01-23,2015.0
POINT (-73.95874430212565 40.76485891183505),2071,1.0,Manhattan,108.0,5.0,76.0,28.0,12.0,3033,Municipal Facilities,12/15/2014,1245 1st Avenue,1245 1st Avenue,67th Street,1st Avenue and 2nd Avenue,Manhattan,108,M66,Not Applicable,40.7648589118,-73.9587443021,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2014-12-15,2014.0
POINT (-73.91045582444694 40.85451295855581),1766,2.0,Bronx,205.0,14.0,86.0,29.0,15.0,2096,Community Health Centers,08/07/2013,70 West Burnside Avenue,70 West Burnside Avenue,Burnside Avenue,University and Harrison Avenues,Bronx,205,Not Applicable,Not Applicable,40.8545129586,-73.9104558244,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-08-07,2013.0
POINT (-73.92122965507627 40.763337559527436),1994,4.0,Queens,401.0,22.0,36.0,12.0,12.0,1808,General,06/11/2013,33-21 31st Avenue,33-21 31st Avenue,31st Avenue,34th Street & 33rd Street,Queens,401,Not Applicable,Not Applicable,40.7633375595,-73.9212296551,Astoria (Central),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-06-11,2013.0
POINT (-73.99072047729787 40.66771887556869),478,3.0,Brooklyn,306.0,39.0,52.0,21.0,7.0,2350,General,01/14/2014,515 4th Avenue,515 4th Avenue,4th Avenue & 14th Street,13th & 14th Street,Brooklyn,306,Not Applicable,Not Applicable,40.6677188756,-73.9907204773,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-01-14,2014.0
POINT (-73.95255899217928 40.81740916863326),1558,1.0,Manhattan,109.0,9.0,70.0,31.0,13.0,2789,Municipal Facilities,12/05/2014,499 West 133rd Street,499 West 133rd Street,West 133rd Street,Convent Avenue & Amsterdam Avenue,Manhattan,109,Not Applicable,Not Applicable,40.8174091686,-73.9525589922,Manhattanville-West Harlem,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-12-05,2014.0
POINT (-73.99789621956178 40.744948008255776),1104,1.0,Manhattan,104.0,3.0,75.0,27.0,12.0,1113,Senior Center,12/19/2012,260 West 23rd Street,260 W 23rd Street,West 23rd Street,8th Avenue & 7th Avenue,Manhattan,104,M23,Not Applicable,40.7449480083,-73.9978962196,Chelsea-Hudson Yards,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2012-12-19,2012.0
POINT (-73.93880957632992 40.651337752854715),346,3.0,Brooklyn,317.0,45.0,58.0,21.0,9.0,354,Bus Route,07/17/2012,4113 & 4115 Church Avenue,,Church Avenue,East 42nd Street and Albany Avenue,Brooklyn,317,B35,Not Applicable,40.6513377529,-73.9388095763,East Flatbush-Rugby,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2012-07-17,2012.0
POINT (-73.93840556480296 40.846290715358926),1728,1.0,Manhattan,112.0,10.0,72.0,31.0,13.0,3337,Plaza,12/01/2015,4140 Broadway,4140 Broadway,W. 175th Street,W. 175th Street & W. 176th Street,Manhattan,112,Not Applicable,Not Applicable,40.8462907154,-73.9384055648,Washington Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2015-12-01,2015.0
POINT (-73.96630316164641 40.76171959849415),1236,1.0,Manhattan,108.0,4.0,73.0,28.0,12.0,2926,General,12/10/2014,205 East 59th Street,999 3rd Ave,3rd Avenue,E. 59th Street & E. 60th Street,Manhattan,108,Not Applicable,East Midtown Partnership,40.7617195985,-73.9663031616,Upper East Side-Lenox Hill-Roosevelt Island,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-12-10,2014.0
POINT (-74.01360394538246 40.70809504731684),845,1.0,Manhattan,101.0,1.0,65.0,26.0,10.0,1019,BID,07/11/2012,94 Greenwich Street,94 Greenwich Street,Greenwich Street,Rector Streets and Washington Streets,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.7080950473,-74.0136039454,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,1.0,BACKED,2012-07-11,2012.0
POINT (-73.98694900623863 40.71576351013719),908,1.0,Manhattan,103.0,1.0,65.0,26.0,12.0,810,General,09/28/2012,411 Grand Street,411 Grand Street,Clinton Street,Grand Street & Clinton Street,Manhattan,103,Not Applicable,Not Applicable,40.7157635101,-73.9869490062,Lower East Side,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-09-28,2012.0
POINT (-74.00995471364112 40.649194733248976),332,3.0,Brooklyn,307.0,38.0,51.0,25.0,7.0,1610,General,01/15/2013,4520 Fourth Avenue,4520 Fourth Avenue,4th Avenue,45th Street & 46th Street,Brooklyn,307,Not Applicable,Not Applicable,40.6491947332,-74.0099547136,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-01-15,2013.0
POINT (-73.95531097021939 40.68262076296203),627,3.0,Brooklyn,303.0,36.0,57.0,25.0,8.0,2719,Municipal Facilities,10/06/2014,50 Jefferson Avenue,50 Jefferson Avenue,Jefferson Avenue,Franklin Avenue & Bedford Avenue,Brooklyn,303,Not Applicable,Not Applicable,40.682620763,-73.9553109702,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-10-06,2014.0
POINT (-73.97883364550623 40.73689391236503),1030,1.0,Manhattan,106.0,2.0,74.0,27.0,12.0,2196,General,10/07/2013,352 E 23rd Street,352 E 23rd Street,E 23rd Street,1st Avenue and 2nd Avenue,Manhattan,106,M09,Not Applicable,40.7368939124,-73.9788336455,Gramercy,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKLESS,2013-10-07,2013.0
POINT (-74.02974654916007 40.63366240629546),248,3.0,Brooklyn,310.0,43.0,64.0,22.0,11.0,1543,General,01/24/2013,7223 Ridge Blvd.,,Ridge Blvd,72nd & 73rd Street,Brooklyn,310,Not Applicable,Not Applicable,40.6336624063,-74.0297465492,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-01-24,2013.0
POINT (-73.99130738075233 40.69205915525057),1898,3.0,Brooklyn,302.0,33.0,52.0,26.0,7.0,985,BID,06/19/2012,62 Court Street,62 Court Street,Court Street,Livingston and Joralemon Streets,Brooklyn,302,Not Applicable,Court-Livingston-Schermerhorn,40.6920591553,-73.9913073808,Brooklyn Heights,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2012-06-19,2012.0
POINT (-73.77897364211267 40.71370310599422),892,4.0,Queens,412.0,27.0,29.0,11.0,5.0,3677,Senior Safety,05/13/2017,182-46 Hillside Avenue,182-46 Hillside Avenue,Hillside Avenue,182nd Place & 183rd Street,Queens,412,Not Applicable,Not Applicable,40.713703106,-73.7789736421,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2017-05-13,2017.0
POINT (-73.88391707863002 40.874000459453846),1839,2.0,Bronx,207.0,11.0,78.0,36.0,13.0,1795,General,05/31/2013,264 East 204th Street,264 East 204th Street,East 204th Street,E Mosholu Parkway & Grand Concourse,Bronx,207,Not Applicable,Not Applicable,40.8740004595,-73.8839170786,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-05-31,2013.0
POINT (-73.98925549738405 40.77302449401798),1314,1.0,Manhattan,107.0,6.0,67.0,31.0,10.0,4206,General,04/11/2019,250 West 61st Street,40 West End Avenue,West End Avenue,West 61st Street & West 62nd Street,Manhattan,107,M57,Not Applicable,40.773024494,-73.9892554974,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2019-04-11,2019.0
POINT (-73.90922877815329 40.66998132907421),517,3.0,Brooklyn,316.0,41.0,55.0,20.0,8.0,1723,BID,02/21/2013,1731 Pitkin Avenue,1731 Pitkin Avenue,Pitkin Avenue,Thatford Avenue & Osborne Street,Brooklyn,316,B14,Pitkin Avenue,40.6699813291,-73.9092287782,Brownsville,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-02-21,2013.0
POINT (-73.87106972657618 40.878440695536554),1849,2.0,Bronx,207.0,11.0,80.0,36.0,13.0,3534,Bus Route,02/04/2017,400 E Gun Hill Road,400 E Gun Hill Road,400 E Gun Hill Road,Bronx River Parkway & Webster Avenue,Bronx,207,Not Applicable,Not Applicable,40.8784406955,-73.8710697266,Norwood,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2017-02-04,2017.0
POINT (-73.92907457462115 40.74350073458316),1082,4.0,Queens,402.0,26.0,37.0,12.0,14.0,1937,General,07/03/2013,45-30 36th Street,45-30 36th Street,36th Street,Queens Blvd & 47th Avenue,Queens,402,Not Applicable,Not Applicable,40.7435007346,-73.9290745746,Sunnyside,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-07-03,2013.0
POINT (-74.00546409906356 40.72688426424296),961,1.0,Manhattan,102.0,3.0,66.0,27.0,10.0,979,BID,07/03/2012,160 Varick Street,160 Varick Street,Varick Street,Charlton and Vandam Streets,Manhattan,102,Not Applicable,Hudson Square Connection,40.7268842642,-74.0054640991,SoHo-Little Italy-Hudson Square,X,AREA OF MINIMAL FLOOD HAZARD,4.0,BACKED,2012-07-03,2012.0
POINT (-73.9415930010305 40.82280968565607),1981,1.0,Manhattan,110.0,9.0,71.0,30.0,13.0,1658,Senior Center,02/04/2017,2730 Frederick Douglass Boulevard,2730 Frederick Douglass Boulevard,W 145th Street,W 145th Street & W 146th Street,Manhattan,110,BX19,Not Applicable,40.8228096857,-73.941593001,Harlem (North),X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2017-02-04,2017.0
POINT (-73.98854451822233 40.666329404288746),467,3.0,Brooklyn,306.0,39.0,52.0,21.0,7.0,998,General,01/17/2013,527 Fifth Avenue,527 Fifth Avenue,5th Avenue,13th & 14th Street,Brooklyn,306,B63,Fifth Avenue,40.6663294043,-73.9885445182,Park Slope,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-01-17,2013.0
POINT (-74.10540947486443 40.63068319935601),233,5.0,Staten Island,501.0,49.0,61.0,24.0,11.0,1683,Bus Route,01/29/2013,475 Forest Avenue,475 Forest Avenue,Forest Avenue,Bard Avenue & Hoyt Avenue,Staten Island,501,S48,Not Applicable,40.6306831994,-74.1054094749,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-01-29,2013.0
POINT (-73.84416715291896 40.72181898087747),940,4.0,Queens,406.0,29.0,28.0,16.0,6.0,1655,Senior Center,03/05/2013,107-55 Queens Boulevard,107-55 Queens Blvd,Queens Blvd,71st Avenue & 70th Road,Queens,406,Q60,Not Applicable,40.7218189809,-73.8441671529,Forest Hills,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-03-05,2013.0
POINT (-74.24333094367175 40.5086617049634),1,5.0,Staten Island,503.0,51.0,62.0,24.0,11.0,2639,Municipal Facilities,08/06/2014,58 Summit Street,330 Yetman Avenue,Yetman Avenue,Brighton Street and Yetman Avenue,Staten Island,503,Not Applicable,Not Applicable,40.508661705,-74.2433309437,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2014-08-06,2014.0
POINT (-73.78011146741244 40.75332826610754),1178,4.0,Queens,411.0,20.0,25.0,11.0,6.0,489,Bus Route,04/12/2013,47-01 Francis Lewis Boulevard,47-01 Francis Lewis Boulevard,47th Avenue & Weeks Lane,Francis Lewis Boulevard,Queens,411,Q27,Not Applicable,40.7533282661,-73.7801114674,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS,2013-04-12,2013.0
POINT (-73.94413289915438 40.70053546524458),776,3.0,Brooklyn,301.0,33.0,53.0,18.0,7.0,1046,Senior Center,09/14/2012,711 Flushing Avenue,711 Flushing Avenue,Flushing Avenue,Throp Avenue and Broadway,Brooklyn,301,B57,Not Applicable,40.7005354652,-73.9441328992,South Williamsburg,X,AREA OF MINIMAL FLOOD HAZARD,5.0,BACKLESS,2012-09-14,2012.0
POINT (-74.00187411279391 40.68717243048933),665,3.0,Brooklyn,306.0,39.0,52.0,26.0,7.0,3109,General,05/22/2015,100 Columbia Street,100 Columbia Street,Columbia Street,Kane Street and Degraw Street,Brooklyn,306,Not Applicable,Not Applicable,40.6871724305,-74.0018741128,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,2.0,BACKED,2015-05-22,2015.0
POINT (-73.88306033218079 40.867779122585944),1817,2.0,Bronx,207.0,11.0,78.0,34.0,13.0,2141,General,10/25/2013,2971 Webster Avenue,2971 Webster Avenue,Webster Avenue,Bedford Park Boulevard and Botanical Square,Bronx,207,Not Applicable,Not Applicable,40.8677791226,-73.8830603322,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED,2013-10-25,2013.0
