GISJOIN,GEOID,STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry,closest_bench,the_geom,ObjectID,BoroName,Latitude,Longitude,NTAName,SeatingTyp,date,lat_long,distance_km,distance_m,travel_time,travel_time_sec
G3600050002300,36005002300,36,005,002300,4742,40.809076,-73.925933,POINT (1830350.624400001 584360.0410999991),"(40.8095242776, -73.9280132644)",POINT (-73.92801326440845 40.80952427761849),1514,Bronx,40.8095242776,-73.9280132644,Mott Haven-Port Morris,BACKED,2015-10-01,"(40.8095242776, -73.9280132644)",0.3 km,307,4 mins,
G3600050002400,36005002400,36,005,002400,6,40.816016,-73.870956,POINT (1834647.3060999997 586176.4365999997),"(40.8185189613, -73.8684611716)",POINT (-73.86846117160587 40.818518961290955),1566,Bronx,40.8185189613,-73.8684611716,Soundview-Clason Point,BACKED,2015-01-20,"(40.8185189613, -73.8684611716)",0.5 km,456,6 mins,
G3600050002500,36005002500,36,005,002500,5442,40.806965,-73.920534,POINT (1830844.6526000015 584233.9784999993),"(40.8063427223, -73.9211945728)",POINT (-73.92119457280616 40.80634272226135),1498,Bronx,40.8063427223,-73.9211945728,Mott Haven-Port Morris,BACKED,2014-08-14,"(40.8063427223, -73.9211945728)",87 m,87,1 min,
G3600050002701,36005002701,36,005,002701,3080,40.805121,-73.916771,POINT (1831198.6041 584105.5192000009),"(40.8050854596, -73.9185899687)",POINT (-73.91858996868551 40.80508545955474),2140,Bronx,40.8050854596,-73.9185899687,Mott Haven-Port Morris,BACKED,2018-08-01,"(40.8050854596, -73.9185899687)",0.2 km,191,2 mins,
G3600050002702,36005002702,36,005,002702,4995,40.806678,-73.914296,POINT (1831359.9697999991 584322.8948999997),"(40.8050854596, -73.9185899687)",POINT (-73.91858996868551 40.80508545955474),2140,Bronx,40.8050854596,-73.9185899687,Mott Haven-Port Morris,BACKED,2018-08-01,"(40.8050854596, -73.9185899687)",0.6 km,579,7 mins,
G3600050002800,36005002800,36,005,002800,5853,40.821119,-73.87713,POINT (1834012.8828999996 586613.3311000001),"(40.8268658006, -73.8738009723)",POINT (-73.87380097227148 40.82686580056388),2038,Bronx,40.8268658006,-73.8738009723,Soundview-Bruckner-Bronx River,BACKLESS,2014-05-02,"(40.8268658006, -73.8738009723)",1.1 km,1090,14 mins,
G3600050003100,36005003100,36,005,003100,2964,40.811503,-73.905292,POINT (1831968.5876000002 585022.2599),"(40.8126863709, -73.9059895259)",POINT (-73.90598952588337 40.81268637094334),1525,Bronx,40.8126863709,-73.9059895259,Melrose,BACKED,2014-11-05,"(40.8126863709, -73.9059895259)",0.2 km,250,3 mins,
G3600050003300,36005003300,36,005,003300,3689,40.80867,-73.913363,POINT (1831384.5549999997 584557.9627),"(40.8106508588, -73.9149456227)",POINT (-73.91494562273726 40.81065085884594),2114,Bronx,40.8106508588,-73.9149456227,Mott Haven-Port Morris,BACKLESS,2017-06-29,"(40.8106508588, -73.9149456227)",0.4 km,401,5 mins,
G3600050003500,36005003500,36,005,003500,3726,40.811981,-73.908986,POINT (1831655.5073000006 585003.1476000007),"(40.8134538872, -73.9089203207)",POINT (-73.90892032070616 40.81345388720878),1532,Bronx,40.8134538872,-73.9089203207,Melrose,BACKED,2014-08-14,"(40.8134538872, -73.9089203207)",0.2 km,238,3 mins,
G3600050003700,36005003700,36,005,003700,340,40.811457,-73.912172,POINT (1831409.6341999993 584884.6403999999),"(40.8106508588, -73.9149456227)",POINT (-73.91494562273726 40.81065085884594),2114,Bronx,40.8106508588,-73.9149456227,Mott Haven-Port Morris,BACKLESS,2017-06-29,"(40.8106508588, -73.9149456227)",0.4 km,389,4 mins,
G3600050003800,36005003800,36,005,003800,1683,40.820293,-73.863239,POINT (1835164.9197000004 586791.4860999994),"(40.8186229281, -73.8630030259)",POINT (-73.86300302590284 40.81862292811974),1564,Bronx,40.8186229281,-73.8630030259,Soundview-Clason Point,BACKED,2014-07-01,"(40.8186229281, -73.8630030259)",0.2 km,193,2 mins,
G3600050003900,36005003900,36,005,003900,6345,40.80961,-73.92146,POINT (1830701.0538000017 584504.3965000007),"(40.8087238851, -73.9217750334)",POINT (-73.92177503338253 40.80872388508409),1508,Bronx,40.8087238851,-73.9217750334,Mott Haven-Port Morris,BACKED,2016-06-10,"(40.8087238851, -73.9217750334)",0.3 km,266,3 mins,
G3600050004001,36005004001,36,005,004001,1739,40.828187,-73.858286,POINT (1835363.9591999985 587747.3006999996),"(40.8241897522, -73.8595495036)",POINT (-73.85954950356509 40.82418975221748),1609,Bronx,40.8241897522,-73.8595495036,Soundview-Clason Point,BACKLESS,2014-12-19,"(40.8241897522, -73.8595495036)",0.6 km,649,8 mins,
G3600050004100,36005004100,36,005,004100,6146,40.811577,-73.919655,POINT (1830797.2947999984 584753.5352999996),"(40.8121637215, -73.9203345735)",POINT (-73.92033457349243 40.81216372148321),1523,Bronx,40.8121637215,-73.9203345735,Mott Haven-Port Morris,BACKED,2017-08-01,"(40.8121637215, -73.9203345735)",81 m,81,1 min,
G3600050004200,36005004200,36,005,004200,7201,40.823462,-73.863619,POINT (1835052.0678000003 587129.4585999995),"(40.8232408061, -73.8653889375)",POINT (-73.8653889375256 40.823240806057285),1925,Bronx,40.8232408061,-73.8653889375,Soundview-Clason Point,BACKED,2013-01-11,"(40.8232408061, -73.8653889375)",0.2 km,151,2 mins,
G3600050004300,36005004300,36,005,004300,5883,40.813387,-73.916408,POINT (1831014.9765999988 585013.3468999993),"(40.8147050572, -73.9189303104)",POINT (-73.91893031038158 40.81470505716942),1537,Bronx,40.8147050572,-73.9189303104,Mott Haven-Port Morris,BACKED,2015-10-01,"(40.8147050572, -73.9189303104)",0.3 km,318,4 mins,
G3600050004400,36005004400,36,005,004400,4642,40.826589,-73.866226,POINT (1834759.0500000007 587419.8567999993),"(40.8232408061, -73.8653889375)",POINT (-73.8653889375256 40.823240806057285),1925,Bronx,40.8232408061,-73.8653889375,Soundview-Clason Point,BACKED,2013-01-11,"(40.8232408061, -73.8653889375)",0.8 km,828,11 mins,
G3600050004600,36005004600,36,005,004600,1976,40.822747,-73.869763,POINT (1834570.4646999985 586932.9254000001),"(40.8232408061, -73.8653889375)",POINT (-73.8653889375256 40.823240806057285),1925,Bronx,40.8232408061,-73.8653889375,Soundview-Clason Point,BACKED,2013-01-11,"(40.8232408061, -73.8653889375)",0.4 km,372,5 mins,
G3600050004800,36005004800,36,005,004800,4184,40.827366,-73.875068,POINT (1834019.3178999983 587333.8501999993),"(40.8268658006, -73.8738009723)",POINT (-73.87380097227148 40.82686580056388),2038,Bronx,40.8268658006,-73.8738009723,Soundview-Bruckner-Bronx River,BACKLESS,2014-05-02,"(40.8268658006, -73.8738009723)",0.2 km,198,2 mins,
G3600050005001,36005005001,36,005,005001,4960,40.825036,-73.877542,POINT (1833878.1517000012 587032.2109999992),"(40.8268658006, -73.8738009723)",POINT (-73.87380097227148 40.82686580056388),2038,Bronx,40.8268658006,-73.8738009723,Soundview-Bruckner-Bronx River,BACKLESS,2014-05-02,"(40.8268658006, -73.8738009723)",0.5 km,465,6 mins,
G3600050005002,36005005002,36,005,005002,6518,40.827368,-73.878386,POINT (1833749.2107999995 587270.0396999996),"(40.8296906246, -73.875687761)",POINT (-73.87568776099357 40.82969062459212),1634,Bronx,40.8296906246,-73.875687761,Soundview-Bruckner-Bronx River,BACKED,2017-07-06,"(40.8296906246, -73.875687761)",0.4 km,432,5 mins,
G3600050005100,36005005100,36,005,005100,6459,40.814011,-73.924387,POINT (1830349.2716000006 584927.6469),"(40.8158361201, -73.9254729994)",POINT (-73.92547299940311 40.815836120085315),2094,Bronx,40.8158361201,-73.9254729994,Melrose,BACKED,2016-06-08,"(40.8158361201, -73.9254729994)",0.3 km,303,4 mins,
G3600050005200,36005005200,36,005,005200,2130,40.826449,-73.881329,POINT (1833533.4133000001 587113.1126000006),"(40.8296906246, -73.875687761)",POINT (-73.87568776099357 40.82969062459212),1634,Bronx,40.8296906246,-73.875687761,Soundview-Bruckner-Bronx River,BACKED,2017-07-06,"(40.8296906246, -73.875687761)",0.8 km,837,11 mins,
G3600050005300,36005005300,36,005,005300,4371,40.852321,-73.921994,POINT (1829556.3271000013 589148.7649000008),"(40.8537155257, -73.9191435315)",POINT (-73.91914353148614 40.85371552566771),1763,Bronx,40.8537155257,-73.9191435315,University Heights (South)-Morris Heights,BACKLESS,2018-03-06,"(40.8537155257, -73.9191435315)",0.4 km,391,5 mins,
G3600050005400,36005005400,36,005,005400,6804,40.829967,-73.879103,POINT (1833623.7133000009 587539.4145999998),"(40.8296906246, -73.875687761)",POINT (-73.87568776099357 40.82969062459212),1634,Bronx,40.8296906246,-73.875687761,Soundview-Bruckner-Bronx River,BACKED,2017-07-06,"(40.8296906246, -73.875687761)",0.5 km,519,6 mins,
G3600050005600,36005005600,36,005,005600,2863,40.832549,-73.878986,POINT (1833566.5348999985 587823.0288999993),"(40.8296906246, -73.875687761)",POINT (-73.87568776099357 40.82969062459212),1634,Bronx,40.8296906246,-73.875687761,Soundview-Bruckner-Bronx River,BACKED,2017-07-06,"(40.8296906246, -73.875687761)",0.6 km,598,7 mins,
G3600050005902,36005005902,36,005,005902,2577,40.824323,-73.923321,POINT (1830170.1926000006 586071.9967),"(40.8248100456, -73.9223001019)",POINT (-73.92230010191899 40.82481004555649),1611,Bronx,40.8248100456,-73.9223001019,Concourse-Concourse Village,BACKED,2015-08-06,"(40.8248100456, -73.9223001019)",0.2 km,192,2 mins,
G3600050006000,36005006000,36,005,006000,1262,40.839184,-73.876422,POINT (1833603.7857000008 588595.5004999992),"(40.8402330866, -73.8792296817)",POINT (-73.87922968171267 40.8402330865958),1696,Bronx,40.8402330866,-73.8792296817,West Farms,BACKLESS,2014-12-18,"(40.8402330866, -73.8792296817)",0.3 km,343,4 mins,
G3600050006100,36005006100,36,005,006100,3444,40.823859,-73.921207,POINT (1830354.2441999987 586062.1435000002),"(40.8248100456, -73.9223001019)",POINT (-73.92230010191899 40.82481004555649),1611,Bronx,40.8248100456,-73.9223001019,Concourse-Concourse Village,BACKED,2015-08-06,"(40.8248100456, -73.9223001019)",0.3 km,340,4 mins,
G3600050006200,36005006200,36,005,006200,6769,40.833301,-73.875914,POINT (1833797.1213000007 587964.2475000005),"(40.8296906246, -73.875687761)",POINT (-73.87568776099357 40.82969062459212),1634,Bronx,40.8296906246,-73.875687761,Soundview-Bruckner-Bronx River,BACKED,2017-07-06,"(40.8296906246, -73.875687761)",0.6 km,553,7 mins,
G3600050006301,36005006301,36,005,006301,6567,40.823651,-73.926978,POINT (1829889.8198999986 585928.3390999995),"(40.8258352645, -73.9269582246)",POINT (-73.92695822461306 40.82583526449864),2096,Bronx,40.8258352645,-73.9269582246,Concourse-Concourse Village,BACKED,2017-02-04,"(40.8258352645, -73.9269582246)",0.3 km,310,4 mins,
G3600050006302,36005006302,36,005,006302,19,40.829537,-73.926493,POINT (1829777.5683999993 586579.1450999994),"(40.8290982182, -73.9282815612)",POINT (-73.92828156119481 40.829098218175005),1629,Bronx,40.8290982182,-73.9282815612,Yankee Stadium-Macombs Dam Park,BACKED,2015-10-01,"(40.8290982182, -73.9282815612)",0.2 km,165,2 mins,
G3600050006400,36005006400,36,005,006400,4186,40.833156,-73.871901,POINT (1834127.4607999995 588025.8906999994),"(40.835516124, -73.8695906842)",POINT (-73.86959068421312 40.835516124014205),1677,Bronx,40.835516124,-73.8695906842,Soundview-Bruckner-Bronx River,BACKLESS,2018-03-06,"(40.835516124, -73.8695906842)",0.4 km,443,6 mins,
G3600050006500,36005006500,36,005,006500,6251,40.818213,-73.921829,POINT (1830449.1878999993 585434.8570000008),"(40.8176034126, -73.9227763703)",POINT (-73.92277637028138 40.81760341256218),1560,Bronx,40.8176034126,-73.9227763703,Melrose,BACKLESS,2017-08-01,"(40.8176034126, -73.9227763703)",0.1 km,128,2 mins,
G3600050006700,36005006700,36,005,006700,6893,40.81966,-73.91804,POINT (1830720.3354999982 585665.5380000006),"(40.8184147198, -73.918712573)",POINT (-73.91871257301452 40.81841471978931),1565,Bronx,40.8184147198,-73.918712573,Melrose,BACKED,2016-06-08,"(40.8184147198, -73.918712573)",0.1 km,149,2 mins,
G3600050006800,36005006800,36,005,006800,3419,40.828974,-73.870293,POINT (1834366.4004000016 587601.2292999998),"(40.8292789165, -73.8741719292)",POINT (-73.87417192921612 40.829278916494616),2039,Bronx,40.8292789165,-73.8741719292,Soundview-Bruckner-Bronx River,BACKED,2014-08-04,"(40.8292789165, -73.8741719292)",0.5 km,530,7 mins,
G3600050006900,36005006900,36,005,006900,6964,40.822017,-73.916064,POINT (1830820.4090999998 585960.4700000007),"(40.8230887957, -73.9128058151)",POINT (-73.91280581511987 40.82308879567001),1598,Bronx,40.8230887957,-73.9128058151,Morrisania,BACKED,2013-01-10,"(40.8230887957, -73.9128058151)",0.4 km,438,6 mins,
G3600050007000,36005007000,36,005,007000,5021,40.829867,-73.865681,POINT (1834718.6766000018 587787.5668000001),"(40.8352804162, -73.861271225)",POINT (-73.86127122504797 40.835280416210615),1675,Bronx,40.8352804162,-73.861271225,Parkchester,BACKLESS,2017-02-04,"(40.8352804162, -73.861271225)",0.9 km,924,12 mins,
G3600050007100,36005007100,36,005,007100,2789,40.819575,-73.911735,POINT (1831235.8029999994 585777.7513999995),"(40.8211511319, -73.9122539001)",POINT (-73.91225390006802 40.82115113192932),1584,Bronx,40.8211511319,-73.9122539001,Melrose,BACKLESS,2013-01-10,"(40.8211511319, -73.9122539001)",0.3 km,257,3 mins,
G3600050007200,36005007200,36,005,007200,6291,40.830998,-73.860679,POINT (1835096.5254000016 588007.3844000008),"(40.8352804162, -73.861271225)",POINT (-73.86127122504797 40.835280416210615),1675,Bronx,40.8352804162,-73.861271225,Parkchester,BACKLESS,2017-02-04,"(40.8352804162, -73.861271225)",0.6 km,555,7 mins,
G3600050007300,36005007300,36,005,007300,4205,40.81467,-73.908967,POINT (1831587.6807000004 585296.5560999997),"(40.8137197201, -73.9088845763)",POINT (-73.90888457633022 40.81371972010192),1533,Bronx,40.8137197201,-73.9088845763,Melrose,BACKED,2014-08-14,"(40.8137197201, -73.9088845763)",0.1 km,137,2 mins,
G3600050007400,36005007400,36,005,007400,3536,40.819382,-73.852839,POINT (1836034.9926000014 586893.0998),"(40.8202197574, -73.8515726078)",POINT (-73.85157260776846 40.82021975744848),1574,Bronx,40.8202197574,-73.8515726078,Castle Hill-Unionport,BACKLESS,2014-12-19,"(40.8202197574, -73.8515726078)",0.2 km,193,2 mins,
G3600050007500,36005007500,36,005,007500,6749,40.818759,-73.908879,POINT (1831489.3526999988 585743.8626000006),"(40.8169667792, -73.9072285449)",POINT (-73.90722854488314 40.816966779231095),1550,Bronx,40.8169667792,-73.9072285449,Melrose,BACKED,2015-08-06,"(40.8169667792, -73.9072285449)",0.4 km,381,4 mins,
G3600050007600,36005007600,36,005,007600,5682,40.833399,-73.868007,POINT (1834438.0857000016 588127.5294000003),"(40.835516124, -73.8695906842)",POINT (-73.86959068421312 40.835516124014205),1677,Bronx,40.835516124,-73.8695906842,Soundview-Bruckner-Bronx River,BACKLESS,2018-03-06,"(40.835516124, -73.8695906842)",0.4 km,431,6 mins,
G3600050007700,36005007700,36,005,007700,1974,40.819831,-73.904756,POINT (1831797.3321999982 585940.1515999995),"(40.8176371551, -73.9049190516)",POINT (-73.90491905156351 40.81763715505253),1556,Bronx,40.8176371551,-73.9049190516,Melrose,BACKED,2017-08-23,"(40.8176371551, -73.9049190516)",0.4 km,419,5 mins,
G3600050007800,36005007800,36,005,007800,7037,40.829329,-73.853456,POINT (1835727.5179999992 587965.0262000002),"(40.8239837164, -73.8587485914)",POINT (-73.85874859137071 40.8239837164071),1607,Bronx,40.8239837164,-73.8587485914,Soundview-Clason Point,BACKLESS,2014-12-19,"(40.8239837164, -73.8587485914)",1.1 km,1075,14 mins,
G3600050007900,36005007900,36,005,007900,6826,40.815813,-73.904866,POINT (1831892.056499999 585500.1630000006),"(40.8176154061, -73.9049221727)",POINT (-73.90492217273666 40.81761540611797),1557,Bronx,40.8176154061,-73.9049221727,Melrose,BACKED,2017-08-23,"(40.8176154061, -73.9049221727)",0.2 km,221,3 mins,
G3600050008300,36005008300,36,005,008300,6122,40.813874,-73.901808,POINT (1832191.0474000014 585347.8093999997),"(40.8136891278, -73.8987705246)",POINT (-73.89877052457625 40.81368912775539),1530,Bronx,40.8136891278,-73.8987705246,Longwood,BACKLESS,2012-05-16,"(40.8136891278, -73.8987705246)",0.4 km,359,5 mins,
G3600050008400,36005008400,36,005,008400,2587,40.815647,-73.848018,POINT (1836524.017000001 586579.2807999998),"(40.8185683718, -73.8480680453)",POINT (-73.84806804531624 40.81856837181244),1568,Bronx,40.8185683718,-73.8480680453,Castle Hill-Unionport,BACKLESS,2017-07-06,"(40.8185683718, -73.8480680453)",0.4 km,404,5 mins,
G3600050008500,36005008500,36,005,008500,5894,40.816255,-73.89895,POINT (1832362.2661999986 585662.3838999998),"(40.8136891278, -73.8987705246)",POINT (-73.89877052457625 40.81368912775539),1530,Bronx,40.8136891278,-73.8987705246,Longwood,BACKLESS,2012-05-16,"(40.8136891278, -73.8987705246)",0.4 km,391,5 mins,
G3600050008600,36005008600,36,005,008600,4145,40.819539,-73.849726,POINT (1836284.314100001 586970.3538000006),"(40.8202197574, -73.8515726078)",POINT (-73.85157260776846 40.82021975744848),1574,Bronx,40.8202197574,-73.8515726078,Castle Hill-Unionport,BACKLESS,2014-12-19,"(40.8202197574, -73.8515726078)",0.2 km,247,3 mins,
G3600050008700,36005008700,36,005,008700,5976,40.820154,-73.896744,POINT (1832441.2076999992 586129.8118999992),"(40.8209000537, -73.8965161162)",POINT (-73.89651611618447 40.82090005373522),1582,Bronx,40.8209000537,-73.8965161162,Longwood,BACKLESS,2018-07-12,"(40.8209000537, -73.8965161162)",0.1 km,114,1 min,
G3600050008900,36005008900,36,005,008900,3118,40.818522,-73.893989,POINT (1832707.6050000004 586005.0923999995),"(40.8179687191, -73.8935095806)",POINT (-73.8935095806114 40.81796871906514),1561,Bronx,40.8179687191,-73.8935095806,Hunts Point,BACKED,2013-09-11,"(40.8179687191, -73.8935095806)",94 m,94,2 mins,
G3600050009000,36005009000,36,005,009000,3911,40.819451,-73.845197,POINT (1836655.2245000005 587048.2860000003),"(40.8185683718, -73.8480680453)",POINT (-73.84806804531624 40.81856837181244),1568,Bronx,40.8185683718,-73.8480680453,Castle Hill-Unionport,BACKLESS,2017-07-06,"(40.8185683718, -73.8480680453)",0.7 km,652,9 mins,
G3600050009200,36005009200,36,005,009200,6271,40.832472,-73.851914,POINT (1835771.7212000005 588337.2786999997),"(40.8375157136, -73.8547985922)",POINT (-73.85479859222623 40.83751571355668),1684,Bronx,40.8375157136,-73.8547985922,Parkchester,BACKED,2014-08-05,"(40.8375157136, -73.8547985922)",0.8 km,839,10 mins,
G3600050009301,36005009301,36,005,009301,5551,40.814684,-73.888388,POINT (1833262.6561999992 585694.8849999998),"(40.8154237197, -73.8867765839)",POINT (-73.88677658392815 40.81542371972121),1545,Bronx,40.8154237197,-73.8867765839,Hunts Point,BACKED,2013-11-14,"(40.8154237197, -73.8867765839)",0.3 km,312,4 mins,
G3600050009302,36005009302,36,005,009302,512,40.803506,-73.876789,POINT (1834495.6876999997 584700.6319999993),"(40.8098290466, -73.8802074781)",POINT (-73.88020747806898 40.80982904656402),1512,Bronx,40.8098290466,-73.8802074781,Hunts Point,BACKED,2017-06-29,"(40.8098290466, -73.8802074781)",0.8 km,835,11 mins,
G3600050009600,36005009600,36,005,009600,2946,40.833794,-73.8459,POINT (1836226.9362000003 588597.5119000003),"(40.8401587858, -73.8424374524)",POINT (-73.84243745244092 40.84015878580688),1694,Bronx,40.8401587858,-73.8424374524,Westchester Square,BACKED,2014-10-15,"(40.8401587858, -73.8424374524)",0.9 km,907,11 mins,
G3600050009800,36005009800,36,005,009800,5903,40.825234,-73.85076,POINT (1836052.8476999998 587570.9111000001),"(40.8226167173, -73.8527778343)",POINT (-73.85277783432699 40.82261671726321),1597,Bronx,40.8226167173,-73.8527778343,Castle Hill-Unionport,BACKED,2017-07-06,"(40.8226167173, -73.8527778343)",0.5 km,469,6 mins,
G3600050011000,36005011000,36,005,011000,0,40.81342,-73.832055,POINT (1837881.0080000013 586645.2285999991),"(40.8211657158, -73.8185016047)",POINT (-73.8185016046541 40.82116571575927),1585,Bronx,40.8211657158,-73.8185016047,Throgs Neck-Schuylerville,BACKLESS,2017-02-04,"(40.8211657158, -73.8185016047)",1.3 km,1304,17 mins,
G3600050011502,36005011502,36,005,011502,4396,40.818772,-73.887125,POINT (1833259.9059000015 586164.7271999996),"(40.8184488204, -73.8889396432)",POINT (-73.88893964315656 40.81844882043946),1562,Bronx,40.8184488204,-73.8889396432,Hunts Point,BACKED,2013-02-04,"(40.8184488204, -73.8889396432)",0.2 km,190,3 mins,
G3600050011701,36005011701,36,005,011701,1554,40.815902,-73.886153,POINT (1833413.1473999992 585870.7295999993),"(40.8154237197, -73.8867765839)",POINT (-73.88677658392815 40.81542371972121),1545,Bronx,40.8154237197,-73.8867765839,Hunts Point,BACKED,2013-11-14,"(40.8154237197, -73.8867765839)",0.3 km,295,4 mins,
G3600050011702,36005011702,36,005,011702,0,40.807237,-73.874956,POINT (1834548.5251000002 585142.5826999992),"(40.8098290466, -73.8802074781)",POINT (-73.88020747806898 40.80982904656402),1512,Bronx,40.8098290466,-73.8802074781,Hunts Point,BACKED,2017-06-29,"(40.8098290466, -73.8802074781)",2.1 km,2057,25 mins,
G3600050011800,36005011800,36,005,011800,5324,40.813651,-73.806686,POINT (1839939.9398999996 587161.2918999996),"(40.8158465452, -73.8117723652)",POINT (-73.81177236517567 40.81584654520154),1544,Bronx,40.8158465452,-73.8117723652,Throgs Neck-Schuylerville,BACKED,2013-01-14,"(40.8158465452, -73.8117723652)",0.6 km,634,9 mins,
G3600050011900,36005011900,36,005,011900,5703,40.823288,-73.889826,POINT (1832923.4288999997 586604.7452000007),"(40.8242863523, -73.8920185415)",POINT (-73.89201854153467 40.824286352302934),1610,Bronx,40.8242863523,-73.8920185415,Longwood,BACKED,2013-01-14,"(40.8242863523, -73.8920185415)",0.3 km,302,4 mins,
G3600050012101,36005012101,36,005,012101,3319,40.828107,-73.888977,POINT (1832868.101399999 587146.2550000008),"(40.8310500074, -73.8870349712)",POINT (-73.8870349711891 40.831050007364375),1638,Bronx,40.8310500074,-73.8870349712,Crotona Park East,BACKLESS,2014-12-17,"(40.8310500074, -73.8870349712)",0.4 km,407,5 mins,
G3600050012102,36005012102,36,005,012102,1616,40.825897,-73.888218,POINT (1832986.9461999983 586920.0669999998),"(40.8242863523, -73.8920185415)",POINT (-73.89201854153467 40.824286352302934),1610,Bronx,40.8242863523,-73.8920185415,Longwood,BACKED,2013-01-14,"(40.8242863523, -73.8920185415)",0.4 km,438,6 mins,
G3600050012300,36005012300,36,005,012300,4766,40.830732,-73.889622,POINT (1832747.8233000003 587419.8657000009),"(40.8309348387, -73.8922099453)",POINT (-73.89220994531094 40.830934838711855),1640,Bronx,40.8309348387,-73.8922099453,Crotona Park East,BACKLESS,2015-06-04,"(40.8309348387, -73.8922099453)",0.3 km,335,4 mins,
G3600050012500,36005012500,36,005,012500,4139,40.828716,-73.893656,POINT (1832471.5408999994 587122.3867000006),"(40.8309348387, -73.8922099453)",POINT (-73.89220994531094 40.830934838711855),1640,Bronx,40.8309348387,-73.8922099453,Crotona Park East,BACKLESS,2015-06-04,"(40.8309348387, -73.8922099453)",0.4 km,403,5 mins,
G3600050012701,36005012701,36,005,012701,2184,40.825793,-73.891692,POINT (1832706.8636999987 586841.7329999991),"(40.8242863523, -73.8920185415)",POINT (-73.89201854153467 40.824286352302934),1610,Bronx,40.8242863523,-73.8920185415,Longwood,BACKED,2013-01-14,"(40.8242863523, -73.8920185415)",0.2 km,168,2 mins,
